:START_ID(HAPLOTYPE),:END_ID(HAPLOTYPE),:TYPE
6017,1132,TOP
6018,1133,TOP
6019,1134,TOP
6020,1135,TOP
6021,1136,TOP
6022,1137,TOP
6022,1797,TOP
6023,1138,TOP
6023,1271,TOP
6024,1139,TOP
6025,1140,TOP
6026,1142,TOP
6027,1143,TOP
6028,1144,TOP
6029,1819,TOP
6029,1145,TOP
6030,1147,TOP
6031,1148,TOP
6032,1149,TOP
6033,1150,TOP
6034,1151,TOP
6035,1152,TOP
6036,1153,TOP
6037,1154,TOP
6038,1155,TOP
6039,1156,TOP
6040,1157,TOP
6041,1158,TOP
6042,1159,TOP
6043,3905,TOP
6043,1160,TOP
6044,1161,TOP
6045,1162,TOP
6046,1163,TOP
6047,1164,TOP
6048,1165,TOP
6048,3852,TOP
6049,1166,TOP
6050,1167,TOP
6051,1168,TOP
6052,1169,TOP
6053,1170,TOP
6054,1171,TOP
6055,1172,TOP
6056,1173,TOP
6057,1174,TOP
6058,1175,TOP
6059,1176,TOP
6060,1177,TOP
6061,1466,TOP
6061,1178,TOP
6062,1468,TOP
6062,1179,TOP
6063,1180,TOP
6063,4284,TOP
6064,1182,TOP
6065,1183,TOP
6066,1185,TOP
6067,1186,TOP
6068,1187,TOP
6069,1188,TOP
6070,1189,TOP
6071,1266,TOP
6071,1190,TOP
6072,1191,TOP
6073,1267,TOP
6073,1192,TOP
6074,1193,TOP
6074,2621,TOP
6075,1194,TOP
6076,1195,TOP
6077,1196,TOP
6077,2622,TOP
6078,1197,TOP
6079,1198,TOP
6080,1199,TOP
6081,1200,TOP
6082,1201,TOP
6083,1202,TOP
6084,1469,TOP
6084,1203,TOP
6084,1467,TOP
6084,2629,TOP
6084,2630,TOP
6085,1204,TOP
6086,1205,TOP
6087,1206,TOP
6088,1207,TOP
6089,1208,TOP
6090,1209,TOP
6091,1210,TOP
6092,1211,TOP
6093,1212,TOP
6094,1213,TOP
6095,1214,TOP
6096,1215,TOP
6097,1216,TOP
6098,1861,TOP
6098,1218,TOP
6099,1219,TOP
6100,1220,TOP
6101,1221,TOP
6101,4952,TOP
6102,1222,TOP
